Area,City,NPS,NPS Label,Ambience And Atmosphere,Curriculum and Activities,Visit Booking Process,Environment And Facilities,Information and Experience,Questions,Nutritious Meals,Value For Money,Survey Response Date [GMT],Responded Week Starting on [GMT],Survey Sent Date [GMT],Start Date,NPS Feedback Categories,Improvement Feedback Categories,Response Month (YYYY-MM),Response Year (YYYY),Response Quarter (YYYY-Q#),Workflow Status,Last Modified Date,Division
7,Sydney,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,24/05/2022 0:00,23/05/2022 0:00,13/05/2022 0:00,11/05/2022 0:00,"""Campus Directors & Educators"",""Curriculum & Programs"",""Environment & Facilities""",,2022-05,2022,2022-Q2,Closed,25/05/2022 16:47,Blue
4,Melbourne,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,24/05/2022 0:00,23/05/2022 0:00,11/05/2022 0:00,06/05/2022 0:00,"""Communication""",,2022-05,2022,2022-Q2,Closed,25/05/2022 17:41,Red
13,Brisbane,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,5. Strongly Agree,23/05/2022 0:00,23/05/2022 0:00,29/04/2022 0:00,27/04/2022 0:00,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Curriculum & Programs""",,2022-05,2022,2022-Q2,Closed,24/05/2022 10:40,Green
16,Perth,9,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,23/05/2022 0:00,23/05/2022 0:00,13/05/2022 0:00,10/05/2022 0:00,"""App & Child Updates"",""Campus Directors & Educators"",""Communication"",""Staff Retention & Turnover"",""Threat of Leaving""",,2022-05,2022,2022-Q2,In Progress,24/05/2022 13:04,Blue
20,Adelaide,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,5. Strongly Agree,23/05/2022 0:00,23/05/2022 0:00,13/05/2022 0:00,11/05/2022 0:00,"""Campus Directors & Educators"",""Communication""",,2022-05,2022,2022-Q2,Pending,23/05/2022 20:48,Purple
14,Canberra,7,Neutral,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,23/05/2022 0:00,23/05/2022 0:00,13/05/2022 0:00,11/05/2022 0:00,"""Campus Directors & Educators"",""Staff Retention & Turnover""",,2022-05,2022,2022-Q2,None,,Green
15,Gold Coast,4,Detractor,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,1. Strongly Disagree,23/05/2022 0:00,23/05/2022 0:00,13/05/2022 0:00,10/05/2022 0:00,"""Campus Directors & Educators"",""Communication"",""Environment & Facilities"",""Fees"",""Head Office Interactions""",,2022-05,2022,2022-Q2,Closed,25/05/2022 10:19,Green
21,Cranbourne,7,Neutral,4. Agree,3. Neither Agree nor Disagree,1. Strongly Disagree,4. Agree,4. Agree,5. Strongly Agree,3. Neither Agree nor Disagree,1. Strongly Disagree,23/05/2022 0:00,23/05/2022 0:00,13/05/2022 0:00,11/05/2022 0:00,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Curriculum & Programs"",""Environment & Facilities"",""Fees""","""Campus Directors & Educators"",""Environment & Facilities"",""Fees""",2022-05,2022,2022-Q2,Closed,27/05/2022 16:32,Orange
11,Central Coast,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,23/05/2022 0:00,23/05/2022 0:00,13/05/2022 0:00,11/05/2022 0:00,"""Campus Directors & Educators"",""Food & Nutrition""",,2022-05,2022,2022-Q2,Closed,24/05/2022 8:52,Blue
21,Wollongong,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,23/05/2022 0:00,23/05/2022 0:00,20/05/2022 0:00,18/05/2022 0:00,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Environment & Facilities""",,2022-05,2022,2022-Q2,Pending,23/05/2022 20:49,Orange
23,Hobart,7,Neutral,4. Agree,4. Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,5. Strongly Agree,23/05/2022 0:00,23/05/2022 0:00,20/05/2022 0:00,17/05/2022 0:00,"""Environment & Facilities""","""Environment & Facilities""",2022-05,2022,2022-Q2,Closed,24/05/2022 14:57,Green
8,Geelong,10,Promoter,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,4. Agree,23/05/2022 0:00,23/05/2022 0:00,20/05/2022 0:00,18/05/2022 0:00,"""Environment & Facilities""",,2022-05,2022,2022-Q2,Pending,23/05/2022 20:49,Blue
2,Townsville,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,23/05/2022 0:00,23/05/2022 0:00,20/05/2022 0:00,18/05/2022 0:00,"""Campus Directors & Educators"",""Curriculum & Programs""",,2022-05,2022,2022-Q2,Closed,24/05/2022 8:36,Red
13,Ipswich,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,23/05/2022 0:00,23/05/2022 0:00,20/05/2022 0:00,17/05/2022 0:00,"""Campus Directors & Educators"",""Communication"",""Head Office Interactions""",,2022-05,2022,2022-Q2,Closed,26/05/2022 13:38,Green
2,Newcastle,9,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,2. Disagree,22/05/2022 0:00,16/05/2022 0:00,18/05/2022 0:00,13/05/2022 0:00,"""Campus Directors & Educators""",,2022-05,2022,2022-Q2,Closed,27/05/2022 8:59,Red
12,Cairns,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,22/05/2022 0:00,16/05/2022 0:00,20/05/2022 0:00,18/05/2022 0:00,"""Campus Directors & Educators"",""Environment & Facilities""",,2022-05,2022,2022-Q2,Pending,22/05/2022 20:49,Blue
9,Darwin,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,5. Strongly Agree,21/05/2022 0:00,16/05/2022 0:00,11/05/2022 0:00,06/05/2022 0:00,"""Communication""",,2022-05,2022,2022-Q2,Pending,21/05/2022 20:48,Blue
6,Toowoomba,8,Neutral,4. Agree,4. Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,4. Agree,3. Neither Agree nor Disagree,4. Agree,21/05/2022 0:00,16/05/2022 0:00,11/05/2022 0:00,06/05/2022 0:00,"""Environment & Facilities""","""Environment & Facilities""",2022-05,2022,2022-Q2,Closed,26/05/2022 10:37,Red
