,Area,City,NPS,NPS Label,Ambience And Atmosphere,Curriculum and Activities,Visit Booking Process,Environment And Facilities,Information and Experience,Questions,Nutritious Meals,Value For Money,Survey Response Date [GMT],Responded Week Starting on [GMT],Survey Sent Date [GMT],Start Date,NPS Feedback Categories,Improvement Feedback Categories,Response Month (YYYY-MM),Response Year (YYYY),Response Quarter (YYYY-Q#),Workflow Status,Last Modified Date,Division,Response_Week
0,7,Sydney,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-05-24,2022-05-23,2022-05-13,2022-05-11,"""Campus Directors & Educators"",""Curriculum & Programs"",""Environment & Facilities""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-25 16:47:00,Blue,2022-21
1,4,Melbourne,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2022-05-24,2022-05-23,2022-05-11,2022-05-06,"""Communication""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-25 17:41:00,Red,2022-21
2,13,Brisbane,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,2022-05-23,2022-05-23,2022-04-29,2022-04-27,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Curriculum & Programs""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-24 10:40:00,Green,2022-21
3,16,Perth,9,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2022-05-23,2022-05-23,2022-05-13,2022-05-10,"""App & Child Updates"",""Campus Directors & Educators"",""Communication"",""Staff Retention & Turnover"",""Threat Of Leaving""",Nan,2022-05,2022,2022-Q2,In Progress,2022-05-24 13:04:00,Blue,2022-21
4,20,Adelaide,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,2022-05-23,2022-05-23,2022-05-13,2022-05-11,"""Campus Directors & Educators"",""Communication""",Nan,2022-05,2022,2022-Q2,Pending,2022-05-23 20:48:00,Purple,2022-21
5,14,Canberra,7,Neutral,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,2022-05-23,2022-05-23,2022-05-13,2022-05-11,"""Campus Directors & Educators"",""Staff Retention & Turnover""",Nan,2022-05,2022,2022-Q2,None,,Green,2022-21
6,15,Gold Coast,4,Detractor,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,2022-05-23,2022-05-23,2022-05-13,2022-05-10,"""Campus Directors & Educators"",""Communication"",""Environment & Facilities"",""Fees"",""Head Office Interactions""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-25 10:19:00,Green,2022-21
7,21,Cranbourne,7,Neutral,4.0,3.0,1.0,4.0,4.0,5.0,3.0,1.0,2022-05-23,2022-05-23,2022-05-13,2022-05-11,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Curriculum & Programs"",""Environment & Facilities"",""Fees""","""Campus Directors & Educators"",""Environment & Facilities"",""Fees""",2022-05,2022,2022-Q2,Closed,2022-05-27 16:32:00,Orange,2022-21
8,11,Central Coast,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-05-23,2022-05-23,2022-05-13,2022-05-11,"""Campus Directors & Educators"",""Food & Nutrition""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-24 08:52:00,Blue,2022-21
9,21,Wollongong,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-05-23,2022-05-23,2022-05-20,2022-05-18,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Environment & Facilities""",Nan,2022-05,2022,2022-Q2,Pending,2022-05-23 20:49:00,Orange,2022-21
10,23,Hobart,7,Neutral,4.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,2022-05-23,2022-05-23,2022-05-20,2022-05-17,"""Environment & Facilities""","""Environment & Facilities""",2022-05,2022,2022-Q2,Closed,2022-05-24 14:57:00,Green,2022-21
11,8,Geelong,10,Promoter,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,2022-05-23,2022-05-23,2022-05-20,2022-05-18,"""Environment & Facilities""",Nan,2022-05,2022,2022-Q2,Pending,2022-05-23 20:49:00,Blue,2022-21
12,2,Townsville,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-05-23,2022-05-23,2022-05-20,2022-05-18,"""Campus Directors & Educators"",""Curriculum & Programs""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-24 08:36:00,Red,2022-21
13,13,Ipswich,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2022-05-23,2022-05-23,2022-05-20,2022-05-17,"""Campus Directors & Educators"",""Communication"",""Head Office Interactions""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-26 13:38:00,Green,2022-21
14,2,Newcastle,9,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2022-05-22,2022-05-16,2022-05-18,2022-05-13,"""Campus Directors & Educators""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-27 08:59:00,Red,2022-20
15,12,Cairns,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2022-05-22,2022-05-16,2022-05-20,2022-05-18,"""Campus Directors & Educators"",""Environment & Facilities""",Nan,2022-05,2022,2022-Q2,Pending,2022-05-22 20:49:00,Blue,2022-20
16,9,Darwin,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,2022-05-21,2022-05-16,2022-05-11,2022-05-06,"""Communication""",Nan,2022-05,2022,2022-Q2,Pending,2022-05-21 20:48:00,Blue,2022-20
